Playlist,Title,Views,Likes,Duration,VideoID,URL,PlaylistURL,transcript
Money Talks,Using Credit Cards Wisely #shorts,15864,,00:00:56,ExW5LtiV2Z4,https://www.youtube.com/watch?v=ExW5LtiV2Z4,https://www.youtube.com/playlist?list=PLrLt2hopxXhUExf-HZJfo4fOWC_ZwmZWz,"مرحبًا يا أطفال، إنه يوم الاثنين المال، كما تعلمون مع
اقتراب عيد الميلاد، أردت أن أقدم لكم
بعض أفكاري حول بطاقات الائتمان حيث
غالبًا ما يستخدمها الناس لشراء الهدايا في
هذا الوقت تقريبًا من العام، صحيح أنني أتحدث
عنها باختصار في كتابي في الصفحة
132.  أعتقد أنها يمكن أن تكون أداة مفيدة جدًا
ولكن يجب التعامل معها
باحترام. إذا كنت تدفع نقدًا مقابل الأشياء،
فهناك ألم معين تشعر به
ولا تشعر به عندما تقوم بمسح
بطاقة الائتمان، ويأتي الألم لاحقًا عندما
تحصل عليه  الفاتورة ومعرفة المبلغ الذي
أنفقته والآن المبلغ المستحق عليك، لذا يرجى توخي
الحذر معهم حيث يمكنك أن تجعل
نفسك مدينًا بسرعة كبيرة وقد
يستغرق الأمر بعض الجهد الحقيقي لشق
طريقك للعودة، وسأشارك المزيد من
أفكاري  على بطاقات الائتمان على
أموالي القادمة يوم الاثنين أتمنى لك
أسبوعًا رائعًا وبارك الله
فيك"
Money Talks,Maximize Your Wealth: Unraveling the 401k: Part 3,10248,,00:00:46,a1to9djEsc4,https://www.youtube.com/watch?v=a1to9djEsc4,https://www.youtube.com/playlist?list=PLrLt2hopxXhUExf-HZJfo4fOWC_ZwmZWz,"مرحبًا يا أطفال، إنه المال يوم الإثنين، لذا إليك
بعض أفكاري الإضافية حول
401K، سيكون لديك عادةً من 6 إلى 10
خيارات لاستثمار أموالك إذا كنت
صغيرًا في العشرينات أو الثلاثينيات من عمرك، وأود أن
أوصيك بالاستثمار في
الصناديق الأكثر قوة  تأكد من إلقاء
نظرة على سجل التتبع لمدة 10 سنوات لمعرفة
نوع العوائد التي يمكنك توقعها إذا
أصبحت متحفظًا للغاية عندما كنت
صغيرًا، فسوف تفوت الكثير من
الفوائد المركبة أيضًا إذا كان لديك
خيار Roth متاحًا داخل  401k الخاص بك
سأستثمر فيه ولكن فقط كن على
علم بأن الأموال التي
تطابقها شركتك ستذهب إلى
خطة التقاعد التقليدية وليس روث، أتمنى أن
تقضي أسبوعًا رائعًا وبارك الله فيك"
Money Talks,Unraveling the 401k Part 2 #shorts,12419,,00:00:59,GTyhOb-fcaY,https://www.youtube.com/watch?v=GTyhOb-fcaY,https://www.youtube.com/playlist?list=PLrLt2hopxXhUExf-HZJfo4fOWC_ZwmZWz,"مرحبًا يا أطفال، إنه المال يوم الاثنين، لذا إليكم
بعض أفكاري حول 401K، وأعتقد
أنه نظام جيد ولكنه
بالتأكيد ليس مثاليًا، فهو يسمح لك بتوفير
بعض المال لتقاعدك حتى
قبل أن تتلقى راتبك حتى
لا تغريك  لإنفاقها، فهذا أمر
جيد بالطبع، ستطابق شركتك عادةً
نسبة مئوية من الأموال التي
تستثمرها، على سبيل المثال، قد تقدم نسبة 5% الأولى التي
تضعها في شركتك نسبة 50%،
لذلك في هذا المثال تحصل على
عائد بنسبة 50%.  على أموالك قبل أن
تبدأ في استثمارها، تحقق من
قسم الموارد البشرية الخاص بك لمعرفة ما هي المطابقة
والنسبة المئوية إذا كنت ترغب في الاستثمار أكثر
مما ستطابقه شركتك، افتح Roth
IRA خارج 401k الخاص بك لأنه
سيكون لديك خيارات أكثر بكثير من  ستة
أو ثمانية خيارات استثمارية لديك
ضمن
401 ألف سأشارك المزيد من أفكاري حول
أموالي القادمة يوم الاثنين أتمنى لك أسبوعًا رائعًا
وبارك الله فيك"
Money Talks,What is a 401k? #shorts,18993,,00:00:59,hQOYtjNUgQo,https://www.youtube.com/watch?v=hQOYtjNUgQo,https://www.youtube.com/playlist?list=PLrLt2hopxXhUExf-HZJfo4fOWC_ZwmZWz,"مرحبًا يا أطفال، إنه المال يوم الاثنين،
سيكون هذا جزءًا من سلسلة من
مقاطع الفيديو التي نأمل أن تكون سهلة الفهم حول
خطة التقاعد 401K،
المصطلح 401K يأتي من قانون الضرائب
القسم 401 الفقرة ك،
إذا كنت تعمل لدى شركة غير ربحية،
فسيكون لديهم خطة مماثلة  عادةً ما تقدم الشركات التي تسمى بـ 403
ب
في الأجيال السابقة
معاشات تقاعدية
لموظفيها لتوفير المال لهم عند
التقاعد،
بينما لا تزال بعض الشركات تقدم
معاشات تقاعدية تم استبدالها إلى حد كبير
بـ
401K، ويسمح لك 401k بتوفير بعض المال
لتقاعدك قبل  تتلقى
راتبك
أيضًا وستقدم شركتك عادةً
نوعًا من الأموال المطابقة حتى تحصل على
عائد على أموالك حتى قبل أن
تبدأ في الاستثمار فيها.
آمل أن تكون هذه مقدمة مفيدة
لـ 401K وسنتحدث عنها أكثر في
الأسبوع المقبل بشأن المال  يوم الاثنين
اسبوع رائع وبارك الله فيكم"
Money Talks,What is a ROTH IRA,29669,,00:01:12,h1mU1pMwYeo,https://www.youtube.com/watch?v=h1mU1pMwYeo,https://www.youtube.com/playlist?list=PLrLt2hopxXhUExf-HZJfo4fOWC_ZwmZWz,"مرحبًا يا أطفال، إنه المال، الاثنين
اليوم، أردت أن أتحدث بإيجاز عن
حسابات التقاعد الفردية أو IRAs،
اختياراتك هي IRA تقليدي أو
Roth IRA،
والفرق الرئيسي هو أنه مع
IRA التقليدي، تحصل على إعفاء ضريبي على الواجهة
الأمامية لذلك يخفض الضرائب الخاصة بك  في
ذلك العام،
تصبح معفاة من الضرائب حتى تحصل عليها
بعد سن 59 ونصف، ثم تدفع
ضريبة على المال عندما تسحبها
باستخدام Roth IRA، لا تحصل على
إعفاء ضريبي على الواجهة الأمامية
ولكنها أيضًا  تنمو معفاة من الضرائب وعندما
تسحبها بعد سن 59 ونصف، فهي
معفاة من الضرائب
أنا شخصياً أوصي بـ Roth
IRA كلما أمكن ذلك
لأنه إذا بدأت في استثمار الشباب فإن
غالبية تلك الأموال في هذا الحساب
سيكون النمو المركب الذي
حدث  سيكون الإعفاء الضريبي الخاص بك
أكبر بكثير على الواجهة الخلفية
من ذلك الذي كنت ستحصل عليه على
الواجهة الأمامية مع حساب IRA التقليدي، وآمل أن
يساعدك هذا على فهم
الفرق الرئيسي بين الاثنين، أتمنى
لك أسبوعًا رائعًا وبارك الله فيك"
Money Talks,What are Mutual Funds?,28229,,00:08:20,pA5qxDTuQJs,https://www.youtube.com/watch?v=pA5qxDTuQJs,https://www.youtube.com/playlist?list=PLrLt2hopxXhUExf-HZJfo4fOWC_ZwmZWz,"مرحبًا أيها الأطفال، إنه يوم المال واليوم
سنتحدث عن صناديق الاستثمار المشتركة،
فهي طريقة رائعة للحصول على
عائد أفضل على أموالك مقارنة بما قد تحصل عليه
في حساب التوفير، أليس كذلك؟ من الجيد
أن يكون لديك أموال في حساب توفير.  لكن
أي شيء إضافي نريد وضعه في
صندوق استثماري مشترك،
لذا أولاً لدي نكتة مضحكة لكم
عندما تختفي النمل، من الذي يتصلون به:
وزارة المالية؟
حسنًا، صناديق الاستثمار المشترك ليست ضمانًا كما
تعلمون، ولكن إذا نظرت إلى صندوق استثماري مشترك بقيمة 10 مليارات دولار، فمن الذي يتصلون به؟  - سجل حافل لمدة عام
يمكنك الحصول على فكرة جيدة عما
يمكنك توقعه إذا لعبت بأمان
والتزمت بسعر الفائدة المضمون
الذي قد تجده في البنك، فأنت في
الواقع تخسر المال لأنه ليس
كافيًا لمواكبة  مع التضخم،
عليك أن تخاطر ببعض
أموالك،
فما هو صندوق الاستثمار المشترك؟
صندوق الاستثمار المشترك هو في الأساس استثمار
أموالك وسحبها معًا،
ثم
تذهب الأموال إلى مدير.  هذا هو ما
يدير الأموال ويستثمر في
أسهم مختلفة، لأنه إذا استثمرت في
سهم ما، فإنك تضع كل أموالك في
سلة واحدة، لذا فهناك الكثير من
المخاطر، وقد تكون مكافأة كبيرة، وقد
تكون أيضًا خسارة كبيرة، لذا فإن الصندوق المتبادل  من خلال الاستثمار في صندوق مشترك،
فإنك تحمي نفسك ضد
خسارة كبيرة، ولكنك لن تحصل على
مكسب كبير، وهو أمر جيد،
لأنك لا تزال تستطيع تحقيق مكسب جيد
من خلال صندوق مشترك، لذا فإن ما
يفعله صندوق الاستثمار المشترك مرة أخرى هو أنك  لدي مدير
يشتري أسهمًا مختلفة
وربما سندات مختلفة يمكنك الاختيار من بينها وهناك
عدد لا يحصى من صناديق الاستثمار المشتركة التي يمكنك
الاختيار من بينها ولكن ما أحب القيام به هو أنني
نظرت إلى
سجل حافل لمدة 10 سنوات  سأعطيك
فكرة تقريبية عما تعرفه عن العائد الذي
يمكنك توقعه، لا تريد أن تذهب
بضربة واحدة، أوه في العام الماضي حققت
72 بالمائة، ولكن ماذا حققت في
العام السابق، خسرت 10 بالمائة أو ماذا؟  هل
لديك
فكرة جيدة عما يمكنك توقعه من
هذا الصندوق المشترك إذا نظرت إلى سجل حافل يمتد لعشر سنوات؟
نريد أيضًا أن نعرف ما إذا
كنت قد سمعت عن الصناديق المشتركة المحملة
وغير المحملة.  أعتقد أن الصناديق المشتركة
كانت أكثر شعبية منذ سنوات مضت
لأنك تدفع للمستثمر
ليستثمر لك ثم يشتري
صندوقًا محملاً ثم هناك
عمولة وكل ذلك، لذا
سأختار صندوقًا بدون رسوم.  صندوق استثمار مشترك
يوجد منه الكثير الآن،
وهذا يعني أنه إذا كان محملاً، فهذا
يعني أنه كان لديك خمسمائة
دولار للاستثمار وكان عليه عبء،
فأنت تستثمر الـ 500 دولار، ولكن بعد ذلك يأخذون
بعض الأموال من الأعلى.
قبل أن يتم استثماره حتى، يمكنك أن
تنجو منه، لست مضطرًا إلى القيام بذلك،
صندوق استثماري مشترك بدون تحميل، يمكنك ذلك، هناك
الكثير من الخيارات الجيدة ويمكنك
القيام بذلك، لذا فهناك العديد من
الشركات الجيدة التي يمكنك التواصل معها  ""
إنهم مفيدون جدًا،
وسيقومون بإرشادك خلال أشياء مثل
Fidelity أو Vanguard على سبيل المثال لا الحصر، كما
تعلم، هناك أيضًا Acorns، وهناك الكثير من
الخيارات المختلفة المتاحة لك، لذا
يمكنك إجراء بحثك الخاص، لكنني
أشجعك على ذلك""  أحاول تبسيط
هذا الأمر بالنسبة لك، كما تعلم، إنه أكثر
تعقيدًا بعض الشيء، ولكن هذا هو الأمر في الأساس،
وإذا كان لديك خطة 401k، فسنتحدث
عن خطة 401k أو التقاعد، وهذا هو
ما لديك في الأساس، وربما يكون
لديك ستة إلى ثمانية خيارات في خطة 401k الخاصة بك.
الاستثمار في أنواع مختلفة من
المرح المتبادل، بعضها يعتمد بشكل كبير على
السندات، لذا فإن العائد ليس رائعًا، إذا
كنت أصغر سنًا، فأنت تريد
المخاطرة أكثر قليلاً بأموالك حتى تؤتي
ثمارها، ولا تريد الاستثمار في
السندات عندما تكون في العشرينات من عمرك، فأنت
تريد أن تخوض هذه المخاطرة حتى تؤتي
ثمارها، ثم تريد كما تحدثنا
عن قاعدة 72، إذا كان بإمكانك الحصول على تسعة في
المائة وتضاعفت في ثماني سنوات،
فإنها تتضاعف مرة أخرى، ثم  إنه يتضاعف
مرة أخرى بحلول الوقت الذي تتقاعد فيه
ويمكنك الحصول على ما يمكنك الحصول عليه،
أعني حتى أكثر من ذلك، لا أريد أن أعلق
آمالك على هذا لأنه كما
تعلم، لا يوجد ضمان لأي
شيء لا أعرفه.  مستشار مالي،
أحاول فقط أن أقدم لك نصيحة أبي التي
قدمتها لأطفالي، عليك فقط أن
تلقي نظرة على الأمر وتكتشف
ما هي المخاطر التي يمكنك
تحملها،
ولكن مرة أخرى إذا لم تتخذ  إن المخاطرة
بأنك تخسر المال بالفعل عن طريق وضع
كل أموالك في حساب توفير، من
الجيد أن يكون لديك أموال في
حساب توفير حتى
لا تضطر إلى
تكديس الأموال في
حساب توفير في حالة الطوارئ ثم  لا تأخذ بعضًا من هذه
الأموال وتستثمرها في شيء
يمكن أن يمنحك عائدًا أفضل،
فصندوق الاستثمار المشترك هو أحد هذه
الصناديق، وسنتحدث عن ذلك في
مقطع فيديو مستقبلي، لكنني أردت فقط أن أحاول
شرح ذلك
نأمل أن يمنحك هذا فكرة أفضل عما
تبحث عنه عندما تبحث عن
صندوق استثماري مشترك، فأنت تأخذ أموالك
وتضعها في صندوق استثماري مشترك
مع أشخاص آخرين ثم يذهب هذا المال إلى
هذا المدير.  إدارة هذا الصندوق
وهناك مديرون مختلفون
وقد يكون هناك العديد من المديرين
داخل الصندوق أيضًا، وقد تكون
مجموعة من الأشخاص ثم يقررون
ما هو الاستثمار الجيد بناءً على ما
تريد الاستثمار فيه أيضًا، لذا فهناك
فئات مختلفة أيضًا  يمكنك
اختيار قطاعات مختلفة يمكنك
اختيارها لتتمكن من استثمار أموالك
فيها والتي تعتقد أنها استثمار جيد،
لذا فإن أحد الأشياء التي أردت تضمينها
هنا هو أنه عندما تقوم بإنشاء صندوق استثمار مشترك،
فهناك رسوم مرتبطة بهذا الأمر.  إنها
مجرد نسبة مئوية تدفعها لهذا
المدير من أجل استثمار الأموال، لذا
على الرغم من أنها ليست محمّلة بأي عبء، إلا أنك لا
تدفع في كل مرة تقوم فيها باستثمار
أو في كل مرة تسحب فيها الأموال، وهذا
ما يفعله الصندوق المحمّل
بك  إذا استثمرت كثيرًا،
فسوف تدفع في البداية،
وستدفع في النهاية، ويمكنك
الحصول على صناديق استثمارية مشتركة بدون تحميل،
وهي تعمل بشكل جيد في
رأيي، ولكنك ستدفع في النهاية.  فقط كن على دراية بذلك، لذا
عندما تقوم بإجراء بحثك حول
صندوق الاستثمار المشترك الخاص بك، عليك أن تنظر إلى
السجل الحافل لمدة 10 سنوات، كما يجب أن
تنتبه إلى مقدار الرسوم التي يتم
تحصيلها أيضًا، وهذا هو الفرق
بين صندوق الاستثمار المشترك وصندوق الاستثمار المتداول.
وهو صندوق متداول في البورصة،
ولا تفرض عليه أي رسوم لأنه
يقوم بذلك بطريقة آلية حيث
يستثمر، ولكنني سأتحدث عن ذلك
في مقطع فيديو مستقبلي على أي حال، أردت فقط أن
أجعلك تفهم أنك تدفع
نوعًا ما من الرسوم.  رسوم على الرغم من أنه يعتبر
بدون تحميل، فأنت لا تدفع مقابل كل
معاملة، وهناك نسبة صغيرة
عادة ما تكون حوالي واحد في المائة أو أقل أو
أكثر اعتمادًا على المتعة التي
تختارها، لذا فأنت تريد دائمًا إلقاء نظرة
على ذلك أيضًا  آمل أن
يساعدك ذلك في فهم ما هو الصندوق المشترك،
وأود أن
أشجعك بشدة على البحث في Google
Mutual Fund وإجراء بحثك الخاص حتى
تحصل على فكرة أفضل عن ما
هو الصندوق المشترك، نعم فقط لحماية نفسك،
افعل دائمًا ما تريده.  البحث إذا
أوصيت بأي شيء، فإن أي شخص يوصي بشيء
ما، عليك دائمًا إجراء
بحثك الخاص، من الكسل أن
تفترض فقط أن هذا الرجل يخبرني
أنه يخبرني بالحقيقة، حسنًا، أنت تعلم
أنك تريد دائمًا إجراء بحثك الخاص،
لا تفعل ذلك.  كن كسولاً في هذا الصدد، خاصة
عندما يتعلق الأمر بأموالك، فأنت تريد
التأكد من أنك تفعل ذلك، وأنك
ذكي في التعامل معها،
لذا آمل أن يوضح
لك ذلك، وسنتحدث عن المزيد من الأمور المتعلقة بالمال،
ولكن  من الصعب أن تعرف من أين تبدأ
وماذا تعطيك، لقد كنت أحاول أن
أقدم لك قطعًا صغيرة الحجم في
بعض قنواتي الأخرى لأنني
أعتقد أنني أريدك أن تمضغها ولهذا
السبب أردت منك  افهم أنه إذا
استثمرت بنسبة 2%، فسوف
يستغرق الأمر 36 عامًا حتى يتضاعف أموالك،
وهذا أمر مؤلم،
لذا يتعين علينا البحث عن خيارات أخرى حتى
تتمكن من
جعل أموالك تعمل بجدية أكبر من أجلك
وبذكاء أكبر.  أنت بخير، لذا
آمل أن يكون ذلك مفيدًا لك، شكرًا لك
على المشاهدة وباركك الله"
Money Talks,How Money Compounds #shorts,24865,,00:01:23,eiJ4l2naJZg,https://www.youtube.com/watch?v=eiJ4l2naJZg,https://www.youtube.com/playlist?list=PLrLt2hopxXhUExf-HZJfo4fOWC_ZwmZWz,"مرحبًا يا أطفال، إنه المال يوم الاثنين عندما نبدأ في
النظر في أنواع مختلفة من
الاستثمارات وكيف يتراكم المال فعليًا،
أريدكم أن تضعوا في اعتباركم
قاعدة 72.
هذه جوهرة مخفية وجدتها في كتابي في
الصفحة 194.
إنها ليست دقيقة ولكنها القاعدة  من 72 هي
طريقة سريعة لمعرفة المدة التي ستستغرقها
أموالك لتتضاعف بناءً على سعر الفائدة الخاص بك. من
الجيد أن يكون لديك أموال في
حساب توفير في أحد البنوك لحالات الطوارئ
ولكننا بحاجة إلى النظر في
خيارات أفضل من أجل أموالك
للتراكم والنمو بشكل أسرع، يبلغ
متوسط ​​سعر الفائدة في البنك
اثنين بالمائة في الوقت الحالي، يبلغ اتحاد الائتمان المحلي الخاص بي
نصف بالمائة على أي شيء يزيد عن
خمسمائة دولار
إذا كان بإمكانك الدخول في استثمارات أفضل
مثل صناديق الاستثمار المشتركة وصناديق الاستثمار المتداولة وتحقيق
ثمانية بالمائة على سبيل المثال
سوف يتضاعف المال في تسع سنوات لأن ثمانية في
تسعة يساوي 72.
آمل أن يساعدك هذا على معرفة ليس فقط
سبب حاجتنا إلى تشغيل أموالنا
لصالحنا، ولكن أيضًا سبب أهمية
تثقيف نفسك
حتى تعمل أموالك بشكل أكثر ذكاءً من أجلك.
لديك سؤال رياضي
بناءً على قاعدة 72 إذا وضعت
أموالك في البنك بنسبة اثنين بالمائة، فكم من الوقت
سيستغرق الأمر حتى تتضاعف أموالك
أتمنى لك أسبوعًا رائعًا وبارك الله
فيك"
Money Talks,Time is a Gift #shorts,13428,,00:00:58,ysCn55hPw44,https://www.youtube.com/watch?v=ysCn55hPw44,https://www.youtube.com/playlist?list=PLrLt2hopxXhUExf-HZJfo4fOWC_ZwmZWz,"الأوتاد إنها حكمة الأربعاء
وبدأت سلسلة الإثنين المالي
لأنني أعتقد أنه من
المهم للغاية تعلم كيفية إدارة أموالك
ولكن أعتقد أنه من المهم أيضًا
تذكيرنا جميعًا باستمرار بالحفاظ على
منظور متوازن ومناسب لحياتك
حتى تأتي حكمة اليوم  من جيم رون
ويقول إن
الوقت أكثر قيمة من المال، يمكنك
الحصول على المزيد من المال ولكن لا يمكنك الحصول على المزيد من
الوقت في
كثير من الأحيان نحن نقدر ما لا نملك
وننسى أن نقدر ما لدينا بالفعل
أتذكر عندما كنت صغيرًا وأنظر إلى
الناس  عمرك الآن وتعتقد أنهم كانوا
كبارًا، تذكر أنني لم أكن دائمًا كبيرًا في السن، لقد كنت
صغيرًا مثلك ذات مرة، وسوف تصبح
كبيرًا في السن مثلي في وقت أقرب مما تعتقد،
تأكد من أنك لا تنشغل كثيرًا بمحاولة
المضي قدمًا لدرجة أنك تنسى ذلك.  استمتع
بالحاضر،
يُسمى حاضرًا لأنه
هدية"
Money Talks,Compound Interest is Powerful #shorts,12725,,00:00:58,1I_GemXUrY4,https://www.youtube.com/watch?v=1I_GemXUrY4,https://www.youtube.com/playlist?list=PLrLt2hopxXhUExf-HZJfo4fOWC_ZwmZWz,"مرحبًا يا أطفال، إنه المال يوم الإثنين
وأريدكم أن تفهموا لماذا من
مصلحتكم أن تبدأوا في الدفع
لأنفسكم أولاً في أقرب وقت ممكن،
إنها قوة الفائدة المركبة.
نُقل عن ألبرت أينشتاين قوله إن
الفائدة المركبة هي الأعجوبة الثامنة
في العالم.  العالم
الذي تريد أن تجعل أموالك تعمل من أجلك في
أقرب وقت ممكن حتى تتمكن من
البدء في كسب المال والبدء في
المضاعفة،
لذا إذا واصلت تأجيله، فهذا
يكلفك في الواقع المال الذي
يمكن أن تكسبه أموالك لك
حتى لو كنت  ابدأ صغيرًا بمجرد أن تراه
يبدأ في النمو، سيشجعك ذلك على
الرغبة في زيادة المبلغ الذي تدفعه
لنفسك،
كلما بدأت في الادخار مبكرًا، كلما
رأيت قوة الفائدة المركبة في
مستقبلك، شكرًا لك،
أتمنى أن تحظى بحياة رائعة  يوم
وبارك الله فيك"
Money Talks,Mastering Money Basics: Unlock Financial Freedom,27458,,00:06:00,bCUSInNUbu8,https://www.youtube.com/watch?v=bCUSInNUbu8,https://www.youtube.com/playlist?list=PLrLt2hopxXhUExf-HZJfo4fOWC_ZwmZWz,"مرحبًا يا أطفال، فكرت في عقد
اجتماع عائلي آخر، واعتقدت أنه من
المهم التحدث عن المال كما
تعلمون كما ذكرت في
مقطع الفيديو القصير الخاص بي في وقت سابق اليوم،
المال هو موضوع حساس للغاية بالنسبة
للناس، فهو يشبه إلى حد ما أنهم
ثمينون عند الرب  الخواتم
إذا لم ترَ
انطباعي عن غاندالف آه سابقًا، آمل ألا
يحرجك هذا ولكن تفضل،
بيلبو باجينز لا تأخذني في
استحضار بعض الحيل الرخيصة أنا لا أحاول
سرقتك،
أنا أحاول  لمساعدتك في
معرفة قصة جانبية مضحكة لك، قمنا بعمل
محاكاة ساخرة لفيلم سيد الخواتم في
كنيستنا منذ حوالي 20 عامًا
ولعبت دور غاندالف في ذلك أيضًا، وقد
ابتكر صديقي جيم اسمًا رائعًا
لي بدلاً من غاندالف الرمادي.  لقد
اتصل بي ""لا أستطيع لعب الجولف بهذه الروعة""
وهو أمر ربما يكون دقيقًا جدًا، كما
تعلم، أعلم أنه ستكون هناك دائمًا
اختلافات في الرأي عندما يتعلق الأمر
بالمال عندما قمت بعمل
فيديو عن الميزانية الخاصة بي،
كان من الصعب القيام بذلك في أقل من
دقيقة  حسنًا، أحاول الاحتفاظ بها لمدة
دقيقة تقريبًا،
لدي متابعين من جميع الأعمار في جميع أنحاء
العالم ولكن يجب أن نبدأ من مكان ما من
أجل المضي قدمًا
وأعتقد أن الميزانية هي المكان المنطقي للبدء
كرجل مؤمن، فقد وضعت 400 دولار للأعمال الخيرية
أظهر أن هذه هي الطريقة التي سأضع بها شخصيًا
ميزانية لهذا المال
إذا كنت لا تشعر بالحاجة إلى
إخبارك بأن لديك
هذا الاختيار، إنه اختيارك، يمكنك وضع
هذا المال في أي شيء تعتقد أنه
مهم بالنسبة لك، كما
تعلم أنني أفعل ذلك  أعتقد أنه من
المهم تخصيص الميزانية لميزانيتك
لأنه إذا لم تفعل ذلك، فمن
المرجح أنك لن يكون لديك أي أموال في
نهاية اليوم لتتبرع بها
في كتابي، لقد تحدثت عن أهمية أن
تكون سخيًا وأعتقد فقط  إنها
عادة جيدة أن أتحدث
إليك كما تعلم في الفيديو الخاص بي، كانت هناك تعليقات
حول دفع 1200 دولار
للإيجار وربما كان هذا مبلغًا منخفضًا
ولكن ربما يكون لديك زميل في السكن وهذا
نصف صحيح، فنحن لا نحاول
التورط في هذا  أرقام كانت هناك
تعليقات حول أن المبلغ هو أربعون
ألف دولار للميزانية التي تعرفها
ربما تكون متزوجًا وهذا هو
المبلغ الإجمالي
مرة أخرى، لا تنشغل
بالأرقام التي أعرفها الأشخاص الذين يفسحون المجال لأكثر
من أربعين ألف دولار أعرفهم
الأشخاص الذين يحصلون على أقل من ذلك أيضًا، كما
تعلم أن هناك تعليقات حول
ديون القروض الطلابية، وقد قمت بتضمين
قروض السيارات ولكن كما تعلم ربما ليس لديك
قروض سيارات ولديك قروض طلابية، كل
هذا لنقول إننا نحاول فقط توضيح
هذه النقطة  أنك بحاجة إلى معرفة
المبلغ الذي ستجنيه
ومن ثم وضع خطة لكيفية إنفاقه
في مقاطع الفيديو الخاصة بي، فمن الصعب الرسم بمثل هذه
الفرشاة العريضة
نظرًا لأن لدي مجموعة واسعة من الأشخاص من
جميع الأعمار ومن جميع أنحاء العالم  العالم
يشاهد مقاطع الفيديو الخاصة بي
ويمكنني التحدث عما مررت به خلال
تجربتي في الولايات المتحدة وهناك بعض
النصائح التي سأقدمها لك
إذا كنت تتخرج من المدرسة الثانوية أو
تحاول معرفة ما تريد القيام به
بعد ذلك
أوصي بشدة أن تنظر
إلى كلية المجتمع
إذا ذهبت إلى هناك
وكنت تعلم أنك تخطط للانتقال
إلى إحدى الجامعات في وقت ما،
فقط تأكد من حصولك على
درجة الزمالة الخاصة بك،
أو قد لا تكون معظم هذه الاعتمادات قد حصلت عليها
قم بالتحويل من أجلك، لذا كن على دراية بأن
الكثير من شبابنا ليسوا متأكدين
مما يريدون القيام به، مثل أي شخص
آخر يتوجهون إلى الجامعة
ويجمعون جميع أنواع ديون القروض الطلابية ثم
يحصلون بعد ذلك على شهادة جامعية في  شيء
قد يستمتعون به، لكنك
لا تملك مسارًا وظيفيًا رائعًا أو
لا تدفع جيدًا، لذا تأكد من النظر
في النتيجة النهائية التي تعرفها
للمسار الوظيفي الذي تختاره
عند التخرج
اختر مهنة تدفع لك أجرًا جيدًا أو
تدفع بشكل جيد حتى تتمكن من البقاء على قيد الحياة.
أخطط للبدء في إنشاء بعض
مقاطع الفيديو حول جميع أنواع
المهن المختلفة حيث أقوم بإجراء مقابلات مع
أشخاص مختلفين لأن هناك الكثير من
الأشياء الأخرى التي يمكنك القيام بها، كما تعلم أن
هناك الكثير  هناك العديد من المسارات الوظيفية التي
يمكنك التفكير في المهن التي
يمكن أن تكون سباكًا أو كهربائيًا أو
نجارًا أو بناءًا
تعرفه، لذا فقط اختر بحكمة
إذا كنت مدينًا
بديون سيئة حقًا، فأنا أشجعك بشدة على
النظر في موارد ديف رامزي  لقد
ساعد العديد من الأشخاص على الخروج من
ديون خطيرة ويمكن أن يبدو
قاسيًا بعض الشيء في بعض الأحيان، ولكن بعد بدء
هذه السلسلة وإدراك المعارضة
التي أواجهها، ربما يكون
قاسيًا بعض الشيء، لذا فإن
النقطة مرة أخرى ليست  انشغل كثيرًا
بالأرقام التي
أضعها كميزانية، أريد فقط
التأكد من أن لديك خطة مثلما
يقول ديفيد رامزي، فأنت تعلم أن الميزانية
تخبر أموالك أين تذهب بدلاً
من التساؤل أين ذهبت
أنا أيضًا  ذكرت الكتاب
أغنى رجل في بابل
والوجبات الرئيسية التي حصلت عليها منه، فأنت
تعلم أن هناك أشياء أخرى يتحدثون
عنها أيضًا ولكن عليك أن تتذكر أن تدفع
لنفسك أولاً بشكل صحيح وتأكد من أن ذلك في
مؤخرتك في ميزانيتك
تحدث من الخبرة إذا كنت  ليس
لديك خطة، ستمر سنوات
وقد لا يكون لديك ما تعرضه مقابل كل
عملك الشاق، لذلك من المهم وضع
ميزانية،
وأنا أدرك أن الميزانية ليست
الشيء الأكثر إثارة لوضعه في مقطع فيديو،
ولكنها في النهاية موجودة  مصلحتك الفضلى هي
السيطرة على أموالك،
يمكنني أن أعدك بأن
مستقبلك سوف يشكرك على
الوقت الذي أمضيته للقيام بذلك،
وآمل أن يكون يومك رائعًا وبارك الله
فيك"
